"ITTER107_A","Territorio di residenza","TIPO_DATO14","Tipo dato","ITTER107_B","Territorio dell'evento","ETA1","Età e classe di età","TITOLO_STUDIO","Titolo di studio","CONDIZIONE_DICH","Condizione professionale","STRIPRODUTTIVA","Storia riproduttiva della donna","NUMEROSITA","Numerosità dell'evento","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC1","Piemonte","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",475,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC2","Valle d'Aosta / Vallée d'Aoste","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",10,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC3","Liguria","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",202,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC4","Lombardia","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",968,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITDA","Trentino Alto Adige / Südtirol","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",99,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITD3","Veneto","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",294,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITD4","Friuli-Venezia Giulia","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",120,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITD5","Emilia-Romagna","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",438,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITE1","Toscana","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",387,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITE2","Umbria","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",102,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITE3","Marche","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",108,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITE4","Lazio","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",649,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF1","Abruzzo","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",104,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF2","Molise","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",20,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF3","Campania","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",505,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF4","Puglia","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",565,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF5","Basilicata","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",44,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITF6","Calabria","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",136,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITG1","Sicilia","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",508,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITG2","Sardegna","Y15-19","15-19 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",150,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC1","Piemonte","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",1195,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC2","Valle d'Aosta / Vallée d'Aoste","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",36,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC3","Liguria","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",462,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITC4","Lombardia","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",2413,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITDA","Trentino Alto Adige / Südtirol","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",227,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITD3","Veneto","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",822,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITD4","Friuli-Venezia Giulia","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",223,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITD5","Emilia-Romagna","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",1206,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITE1","Toscana","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",923,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITE2","Umbria","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",173,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITE3","Marche","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",275,,
"IT","Italia","64","interruzioni volontarie della gravidanza","ITE4","Lazio","Y20-24","20-24 anni","99","totale","99","totale","ALL","totale","TOT","totale","2017","2017",1540,,
