"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","48457","0","0","0","0","0","0","48457","45255","0","0","0","0","0","0","45255","93712"
"16","47811","0","0","0","0","0","0","47811","44654","1","2","0","0","0","0","44657","92468"
"17","48347","0","0","0","0","0","0","48347","45185","2","0","0","0","0","0","45187","93534"
"18","49563","3","0","0","0","0","0","49566","45577","53","1","1","0","0","0","45632","95198"
"19","49514","20","4","0","0","0","0","49538","44687","240","2","1","3","0","0","44933","94471"
"20","50793","51","4","0","2","0","0","50850","44164","587","3","0","0","0","0","44754","95604"
"21","50103","111","1","0","1","0","0","50216","43843","1019","11","1","2","0","0","44876","95092"
"22","49307","214","1","0","2","1","0","49525","43271","1626","12","2","3","0","0","44914","94439"
"23","48233","471","5","1","5","0","0","48715","42174","2413","18","0","5","0","0","44610","93325"
"24","47977","776","16","0","12","0","0","48781","41805","3525","34","3","11","0","0","45378","94159"
"25","48055","1354","19","1","18","1","0","49448","41627","4864","52","9","8","0","0","46560","96008"
"Total","538160","3000","50","2","40","2","0","541254","482242","14330","135","17","32","0","0","496756","1038010"
