"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","2776","0","0","0","0","0","0","2776","2517","0","0","0","0","0","0","2517","5293"
"16","2812","0","0","0","0","0","0","2812","2632","1","0","0","0","0","0","2633","5445"
"17","2897","0","0","0","0","0","0","2897","2598","0","0","0","0","0","0","2598","5495"
"18","3084","0","0","0","0","0","0","3084","2681","3","0","0","0","0","0","2684","5768"
"19","3059","4","3","0","0","0","0","3066","2750","9","0","0","0","0","0","2759","5825"
"20","3150","3","0","0","0","0","0","3153","2648","24","0","0","0","0","0","2672","5825"
"21","3100","5","0","0","0","0","0","3105","2700","49","0","0","0","0","0","2749","5854"
"22","3098","21","0","0","0","0","0","3119","2701","73","0","1","0","0","0","2775","5894"
"23","3121","21","0","0","0","0","0","3142","2741","107","0","0","0","0","0","2848","5990"
"24","3116","64","0","0","0","0","0","3180","2780","178","3","0","0","0","0","2961","6141"
"25","3247","67","1","0","0","0","0","3315","2760","233","2","0","0","0","0","2995","6310"
"Total","33460","185","4","0","0","0","0","33649","29508","677","5","1","0","0","0","30191","63840"
