"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","1349","0","0","0","0","0","0","1349","1247","0","0","0","0","0","0","1247","2596"
"16","1348","0","0","0","0","0","0","1348","1314","0","0","0","0","0","0","1314","2662"
"17","1401","1","0","0","0","0","0","1402","1313","0","0","0","0","0","0","1313","2715"
"18","1509","0","0","0","0","0","0","1509","1380","4","0","0","0","0","0","1384","2893"
"19","1623","1","0","0","0","0","0","1624","1378","5","0","0","0","0","0","1383","3007"
"20","1824","3","0","0","0","0","0","1827","1396","22","0","0","0","0","0","1418","3245"
"21","1735","8","0","0","0","0","0","1743","1392","15","0","0","0","0","0","1407","3150"
"22","1652","10","0","0","0","0","0","1662","1462","32","0","0","0","0","0","1494","3156"
"23","1665","21","0","0","0","0","0","1686","1481","51","0","0","0","0","0","1532","3218"
"24","1740","36","1","0","0","0","0","1777","1443","83","0","0","0","0","0","1526","3303"
"25","1745","44","0","0","0","0","0","1789","1480","121","0","1","0","0","0","1602","3391"
"Total","17591","124","1","0","0","0","0","17716","15286","333","0","1","0","0","0","15620","33336"
