"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","16656","0","0","0","0","0","0","16656","15531","0","0","0","0","0","0","15531","32187"
"16","16752","0","0","0","0","0","0","16752","15621","0","0","0","0","0","0","15621","32373"
"17","16632","0","0","0","0","0","0","16632","15638","1","1","0","0","0","0","15640","32272"
"18","17100","1","0","0","0","0","0","17101","15681","25","0","0","0","0","0","15706","32807"
"19","17108","4","0","0","0","0","0","17112","15061","86","0","0","1","0","0","15148","32260"
"20","17705","16","0","0","0","0","0","17721","15132","236","2","0","0","0","0","15370","33091"
"21","17397","39","0","0","0","1","0","17437","15088","348","1","0","0","0","0","15437","32874"
"22","17137","102","1","3","3","0","0","17246","14970","566","3","1","3","0","0","15543","32789"
"23","16847","154","2","1","1","0","0","17005","14622","827","10","1","1","0","0","15461","32466"
"24","16631","284","3","1","2","0","0","16921","14739","1066","4","1","0","0","0","15810","32731"
"25","16903","398","3","1","4","0","0","17309","14394","1537","20","1","6","0","0","15958","33267"
"Total","186868","998","9","6","10","1","0","187892","166477","4692","41","4","11","0","0","171225","359117"
