"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","27242","0","0","0","0","0","0","27242","25862","0","0","0","0","0","0","25862","53104"
"16","26914","1","0","1","0","0","0","26916","25212","1","0","1","0","0","0","25214","52130"
"17","27054","0","1","0","0","0","0","27055","25378","3","0","0","0","0","0","25381","52436"
"18","27763","4","0","0","0","0","0","27767","25606","20","1","0","0","0","0","25627","53394"
"19","27702","9","0","0","0","0","0","27711","25154","69","0","0","0","0","0","25223","52934"
"20","28567","28","0","0","1","0","0","28596","25388","173","2","0","0","0","0","25563","54159"
"21","28386","54","0","0","2","0","0","28442","25227","359","4","0","1","0","0","25591","54033"
"22","28625","107","1","1","0","0","0","28734","25167","609","5","2","4","0","0","25787","54521"
"23","28936","214","3","1","6","0","0","29160","25079","882","11","0","4","0","0","25976","55136"
"24","28738","340","0","0","4","1","1","29084","25221","1403","12","2","3","0","0","26641","55725"
"25","28707","596","6","3","5","1","0","29318","25319","2134","29","4","5","0","0","27491","56809"
"Total","308634","1353","11","6","18","2","1","310025","278613","5653","64","9","17","0","0","284356","594381"
