"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","9679","0","0","0","0","0","0","9679","9064","0","0","0","0","0","0","9064","18743"
"16","9650","1","0","0","0","0","0","9651","8917","3","1","0","0","0","0","8921","18572"
"17","9940","1","0","0","0","0","0","9941","9397","2","0","1","0","0","0","9400","19341"
"18","10619","1","1","0","0","0","0","10621","9588","10","0","0","0","0","0","9598","20219"
"19","10764","12","2","4","0","0","0","10782","9488","49","1","0","0","0","0","9538","20320"
"20","10816","21","1","0","0","0","0","10838","9697","147","0","2","0","0","0","9846","20684"
"21","10600","34","1","1","0","0","0","10636","9440","249","1","0","0","0","0","9690","20326"
"22","10938","76","2","0","0","0","0","11016","9466","452","2","0","1","0","0","9921","20937"
"23","10870","139","1","1","1","0","0","11012","9660","632","3","0","0","0","0","10295","21307"
"24","11174","249","1","2","1","0","0","11427","9463","966","6","2","0","0","0","10437","21864"
"25","11319","440","4","3","0","0","0","11766","9483","1518","12","2","0","0","0","11015","22781"
"Total","116369","974","13","11","2","0","0","117369","103663","4028","26","7","1","0","0","107725","225094"
