"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","582","0","1","0","0","0","0","583","590","0","2","0","0","0","0","592","1175"
"16","595","0","0","0","0","0","0","595","587","0","0","0","0","0","0","587","1182"
"17","595","0","0","0","0","0","0","595","520","0","0","0","0","0","0","520","1115"
"18","625","0","0","0","0","0","0","625","557","0","1","0","0","0","0","558","1183"
"19","636","0","0","0","0","0","0","636","588","2","0","0","0","0","0","590","1226"
"20","622","0","0","0","0","0","0","622","562","8","0","0","0","0","0","570","1192"
"21","632","1","0","0","0","0","0","633","554","13","0","0","1","0","0","568","1201"
"22","585","2","1","0","0","0","0","588","522","22","0","0","0","0","0","544","1132"
"23","624","6","0","0","0","0","0","630","562","22","2","0","0","0","0","586","1216"
"24","596","14","0","0","0","0","0","610","511","33","0","0","0","0","0","544","1154"
"25","557","24","0","0","0","0","0","581","498","62","1","0","0","0","0","561","1142"
"Total","6649","47","2","0","0","0","0","6698","6051","162","6","0","1","0","0","6220","12918"
