Territorio,Classe di età,Value
Piemonte,15-19 anni,26
Valle d'Aosta / Vallée d'Aoste,15-19 anni,0
Liguria,15-19 anni,15
Lombardia,15-19 anni,62
Trentino Alto Adige / Südtirol,15-19 anni,5
Veneto,15-19 anni,33
Friuli-Venezia Giulia,15-19 anni,10
Emilia-Romagna,15-19 anni,28
Toscana,15-19 anni,27
Umbria,15-19 anni,3
Marche,15-19 anni,9
Lazio,15-19 anni,37
Abruzzo,15-19 anni,11
Molise,15-19 anni,4
Campania,15-19 anni,78
Puglia,15-19 anni,68
Basilicata,15-19 anni,4
Calabria,15-19 anni,30
Sicilia,15-19 anni,115
Sardegna,15-19 anni,20
Piemonte,20-24 anni,146
Valle d'Aosta / Vallée d'Aoste,20-24 anni,4
Liguria,20-24 anni,59
Lombardia,20-24 anni,336
Trentino Alto Adige / Südtirol,20-24 anni,58
Veneto,20-24 anni,209
Friuli-Venezia Giulia,20-24 anni,59
Emilia-Romagna,20-24 anni,170
Toscana,20-24 anni,169
Umbria,20-24 anni,33
Marche,20-24 anni,59
Lazio,20-24 anni,227
Abruzzo,20-24 anni,63
Molise,20-24 anni,13
Campania,20-24 anni,299
Puglia,20-24 anni,285
Basilicata,20-24 anni,23
Calabria,20-24 anni,103
Sicilia,20-24 anni,339
Sardegna,20-24 anni,66
Piemonte,25-29 anni,392
Valle d'Aosta / Vallée d'Aoste,25-29 anni,7
Liguria,25-29 anni,166
Lombardia,25-29 anni,951
Trentino Alto Adige / Südtirol,25-29 anni,136
Veneto,25-29 anni,597
Friuli-Venezia Giulia,25-29 anni,181
Emilia-Romagna,25-29 anni,467
Toscana,25-29 anni,428
Umbria,25-29 anni,73
Marche,25-29 anni,135
Lazio,25-29 anni,578
Abruzzo,25-29 anni,138
Molise,25-29 anni,30
Campania,25-29 anni,804
Puglia,25-29 anni,568
Basilicata,25-29 anni,62
Calabria,25-29 anni,246
Sicilia,25-29 anni,799
Sardegna,25-29 anni,176
