"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","6035","0","0","0","0","0","0","6035","5559","0","0","0","0","0","0","5559","11594"
"16","5970","0","0","0","0","0","0","5970","5543","0","0","0","0","0","0","5543","11513"
"17","5930","0","0","0","0","0","0","5930","5455","0","1","0","0","0","0","5456","11386"
"18","6089","1","0","0","0","0","0","6090","5701","2","0","0","0","0","0","5703","11793"
"19","6409","3","0","0","0","0","0","6412","5615","32","0","0","0","0","0","5647","12059"
"20","6295","10","0","4","0","0","0","6309","5656","60","0","0","0","0","0","5716","12025"
"21","6451","19","0","5","1","0","0","6476","5822","119","1","0","1","0","0","5943","12419"
"22","6505","29","1","7","0","0","0","6542","5657","161","0","1","0","0","0","5819","12361"
"23","6422","56","0","2","1","0","0","6481","5888","227","3","0","0","1","0","6119","12600"
"24","6451","96","0","1","0","0","0","6548","5580","346","3","1","1","0","0","5931","12479"
"25","6512","165","1","3","2","0","0","6683","5762","540","5","1","1","0","0","6309","12992"
"Total","69069","379","2","22","4","0","0","69476","62238","1487","13","3","3","1","0","63745","133221"
