"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","7125","1","0","0","0","0","0","7126","6573","1","0","0","0","0","0","6574","13700"
"16","6944","0","0","0","0","0","0","6944","6608","0","0","0","0","0","0","6608","13552"
"17","7113","0","0","0","0","0","0","7113","6567","2","0","0","0","0","0","6569","13682"
"18","7063","1","0","0","0","0","0","7064","6587","7","0","0","0","0","0","6594","13658"
"19","7545","5","0","1","0","0","0","7551","6684","38","1","0","0","0","0","6723","14274"
"20","7451","10","0","1","1","0","0","7463","6688","84","0","0","0","0","0","6772","14235"
"21","7759","24","1","1","0","0","0","7785","6649","140","0","0","1","0","0","6790","14575"
"22","7552","34","0","0","1","0","0","7587","6620","204","2","0","0","0","0","6826","14413"
"23","7436","68","3","3","0","0","0","7510","6444","311","6","2","0","0","0","6763","14273"
"24","7452","107","2","0","0","0","0","7561","6418","444","5","0","0","0","0","6867","14428"
"25","7271","162","1","1","1","0","0","7436","6261","601","9","1","0","0","0","6872","14308"
"Total","80711","412","7","7","3","0","0","81140","72099","1832","23","3","1","0","0","73958","155098"
