"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","32877","0","4","0","0","0","0","32881","30910","2","0","0","0","0","0","30912","63793"
"16","32941","1","2","0","0","0","0","32944","31573","2","1","0","0","0","0","31576","64520"
"17","32901","1","4","1","0","0","0","32907","31200","2","2","0","0","0","0","31204","64111"
"18","34073","6","4","0","0","0","0","34083","31701","34","1","0","0","0","0","31736","65819"
"19","34761","18","8","2","0","0","0","34789","32325","128","2","0","0","0","0","32455","67244"
"20","35043","45","11","0","0","0","0","35099","32091","329","5","1","0","0","0","32426","67525"
"21","35278","138","7","2","1","0","0","35426","31707","613","5","1","0","0","0","32326","67752"
"22","34980","249","13","0","3","0","0","35245","31368","1016","4","1","0","0","0","32389","67634"
"23","34781","452","15","0","1","0","0","35249","31236","1663","5","1","0","0","0","32905","68154"
"24","33865","801","10","0","3","0","0","34679","30830","2580","8","2","3","0","0","33423","68102"
"25","33880","1284","9","0","3","0","0","35176","29801","3747","31","2","1","0","0","33582","68758"
"Total","375380","2995","87","5","11","0","0","378478","344742","10116","64","8","4","0","0","354934","733412"
