"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","5359","0","0","0","0","0","0","5359","5221","0","0","0","0","0","0","5221","10580"
"16","5469","0","0","0","0","0","0","5469","5048","0","0","0","0","0","0","5048","10517"
"17","5362","0","0","0","0","0","0","5362","5022","0","0","0","0","0","0","5022","10384"
"18","5564","1","0","0","0","0","0","5565","5016","5","0","0","0","0","0","5021","10586"
"19","5672","0","0","0","0","0","0","5672","5235","37","0","0","0","0","0","5272","10944"
"20","5541","6","1","0","0","0","0","5548","4964","73","1","0","0","0","0","5038","10586"
"21","5637","20","0","0","2","0","0","5659","4939","121","2","0","0","0","0","5062","10721"
"22","5508","47","0","0","0","0","1","5556","4838","182","0","0","0","0","0","5020","10576"
"23","5702","52","2","0","2","1","0","5759","4812","299","3","0","1","0","0","5115","10874"
"24","5451","111","1","0","2","0","0","5565","4618","377","5","0","2","0","0","5002","10567"
"25","5375","172","0","0","0","0","0","5547","4485","545","10","3","1","1","0","5045","10592"
"Total","60640","409","4","0","6","1","1","61061","54198","1639","21","3","4","1","0","55866","116927"
