"ITTER107","Territorio","TIPO_DATO14","Tipo dato","ETA1","Classe di età","TERANT","Terapia antalgica","COMPL","Complicazione","LUOGOEVENTO","Luogo di aborto","DURATA","Settimane di amenorrea","SI_NO","Utilizzo di tecniche di procreazione medicalmente assistita","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC1","Piemonte","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",59,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",0,,
"ITC3","Liguria","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",18,,
"ITC4","Lombardia","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",105,,
"ITDA","Trentino Alto Adige / Südtirol","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",10,,
"ITD3","Veneto","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",39,,
"ITD4","Friuli-Venezia Giulia","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",14,,
"ITD5","Emilia-Romagna","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",35,,
"ITE1","Toscana","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",38,,
"ITE2","Umbria","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",5,,
"ITE3","Marche","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",23,,
"ITE4","Lazio","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",83,,
"ITF1","Abruzzo","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",8,,
"ITF2","Molise","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",3,,
"ITF3","Campania","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",69,,
"ITF4","Puglia","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",98,,
"ITF5","Basilicata","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",6,,
"ITF6","Calabria","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",23,,
"ITG1","Sicilia","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",129,,
"ITG2","Sardegna","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",17,,
"ITC1","Piemonte","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",250,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",9,,
"ITC3","Liguria","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",74,,
"ITC4","Lombardia","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",494,,
"ITDA","Trentino Alto Adige / Südtirol","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",40,,
"ITD3","Veneto","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",248,,
"ITD4","Friuli-Venezia Giulia","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",61,,
"ITD5","Emilia-Romagna","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",199,,
"ITE1","Toscana","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",183,,
"ITE2","Umbria","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",36,,
"ITE3","Marche","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",73,,
"ITE4","Lazio","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",357,,
"ITF1","Abruzzo","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2017","2017",53,,
