"ITTER107","Territorio","TIPO_DATO14","Tipo dato","ETA1","Classe di età","TERANT","Terapia antalgica","COMPL","Complicazione","LUOGOEVENTO","Luogo di aborto","DURATA","Settimane di amenorrea","SI_NO","Utilizzo di tecniche di procreazione medicalmente assistita","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC1","Piemonte","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",26,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",0,,
"ITC3","Liguria","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",15,,
"ITC4","Lombardia","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",62,,
"ITDA","Trentino Alto Adige / Südtirol","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",5,,
"ITD3","Veneto","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",33,,
"ITD4","Friuli-Venezia Giulia","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",10,,
"ITD5","Emilia-Romagna","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",28,,
"ITE1","Toscana","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",27,,
"ITE2","Umbria","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",3,,
"ITE3","Marche","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",9,,
"ITE4","Lazio","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",37,,
"ITF1","Abruzzo","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",11,,
"ITF2","Molise","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",4,,
"ITF3","Campania","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",78,,
"ITF4","Puglia","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",68,,
"ITF5","Basilicata","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",4,,
"ITF6","Calabria","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",30,,
"ITG1","Sicilia","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",115,,
"ITG2","Sardegna","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",20,,
"ITC1","Piemonte","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",146,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",4,,
"ITC3","Liguria","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",59,,
"ITC4","Lombardia","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",336,,
"ITDA","Trentino Alto Adige / Südtirol","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",58,,
"ITD3","Veneto","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",209,,
"ITD4","Friuli-Venezia Giulia","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",59,,
"ITD5","Emilia-Romagna","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",170,,
"ITE1","Toscana","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",169,,
"ITE2","Umbria","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",33,,
"ITE3","Marche","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",59,,
"ITE4","Lazio","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",227,,
"ITF1","Abruzzo","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",63,,
"ITF2","Molise","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",13,,
"ITF3","Campania","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",299,,
"ITF4","Puglia","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",285,,
"ITF5","Basilicata","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",23,,
"ITF6","Calabria","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",103,,
"ITG1","Sicilia","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",339,,
"ITG2","Sardegna","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",66,,
"ITC1","Piemonte","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",392,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",7,,
"ITC3","Liguria","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",166,,
"ITC4","Lombardia","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",951,,
"ITDA","Trentino Alto Adige / Südtirol","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",136,,
"ITD3","Veneto","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",597,,
"ITD4","Friuli-Venezia Giulia","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",181,,
"ITD5","Emilia-Romagna","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",467,,
"ITE1","Toscana","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",428,,
"ITE2","Umbria","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",73,,
"ITE3","Marche","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",135,,
"ITE4","Lazio","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",578,,
"ITF1","Abruzzo","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",138,,
"ITF2","Molise","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2019","2019",30,,
