"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","6888","1","1","1","0","0","0","6891","6373","0","0","2","0","0","0","6375","13266"
"16","7114","0","2","1","0","0","0","7117","6636","0","0","1","0","0","0","6637","13754"
"17","6946","0","0","3","0","0","0","6949","6587","0","0","1","0","0","0","6588","13537"
"18","7130","0","1","0","1","0","0","7132","6746","4","0","1","0","0","0","6751","13883"
"19","7593","0","2","2","0","0","0","7597","6834","9","0","1","0","0","0","6844","14441"
"20","7684","1","3","2","0","0","0","7690","6666","17","1","5","0","0","0","6689","14379"
"21","7559","9","5","2","0","0","0","7575","6503","33","0","2","0","0","0","6538","14113"
"22","7571","12","2","2","0","0","0","7587","6563","72","2","0","2","0","0","6639","14226"
"23","7746","29","1","1","2","0","0","7779","6591","123","5","1","0","0","0","6720","14499"
"24","7873","64","1","0","2","0","0","7940","6710","212","1","2","0","0","0","6925","14865"
"25","7814","112","1","1","2","0","0","7930","6795","305","5","0","0","0","0","7105","15035"
"Total","81918","228","19","15","7","0","0","82187","73004","775","14","16","2","0","0","73811","155998"
